id,type,name
2,1,MO-Line
3,1,FA-Line
4,1,FB-Line
5,2,Alphasonics
6,2,"Convertech, Inc."
7,2,CPS
8,2,"Erhardt + Leimer"
9,2,"ESS Technology"
10,2,"Industrial inkjet Ltd."
11,2,Meech
12,2,"Pamarco Global Graphics"
13,2,Trelleborg
14,2,"Rotary Technologies"
15,2,Xeikon
